bestAnswer,score
0,1.237027E-1
0,2.154765E-2
0,3.132892E-2
0,2.886257E-3
0,3.162265E-3
0,8.12002E-2
0,4.301166E-1
0,2.832285E-3
0,2.990479E-3
0,5.909126E-3
0,6.271578E-2
0,1.29417E-2
0,3.232939E-3
0,1.073193E-2
0,5.110016E-1
0,3.780675E-1
0,3.652616E-2
0,2.067683E-3
0,2.442393E-3
0,3.525163E-1
0,2.935186E-2
1,8.301164E-1
0,4.899325E-1
0,1.21906E-2
0,3.861574E-2
0,1.022038E-1
0,5.184954E-2
0,3.305466E-3
0,4.065961E-3
0,8.170052E-3
0,2.069603E-1
0,6.085702E-2
0,3.034572E-1
0,2.373304E-2
0,3.550147E-3
0,7.141713E-2
0,1.984968E-3
0,8.058683E-2
0,4.825824E-3
0,1.115579E-1
0,4.731737E-3
0,5.045092E-2
0,1.825984E-1
0,2.307433E-2
0,6.261367E-2
0,1.258383E-1
0,1.026664E-2
0,8.229807E-3
0,4.148464E-2
0,1.481736E-2
0,3.231454E-1
0,5.89279E-2
0,2.54242E-2
0,3.17643E-1
0,2.762059E-2
0,3.84097E-3
0,3.999502E-3
0,9.283557E-3
0,1.49628E-2
0,5.543145E-1
0,2.48632E-1
0,2.361842E-2
1,9.085606E-1
0,7.154036E-2
0,8.60787E-3
0,1.151016E-1
0,6.374704E-2
0,3.538215E-2
0,6.266462E-1
0,7.166258E-2
0,6.451117E-2
0,2.521613E-1
0,1.089677E-2
0,1.305841E-2
0,4.703012E-1
0,8.885388E-3
0,5.197451E-2
0,4.549289E-2
0,3.136529E-3
0,3.746926E-2
0,7.512045E-1
0,1.561719E-2
0,4.190422E-3
1,7.923334E-1
0,5.347883E-2
0,8.452299E-3
0,6.659886E-3
0,2.23202E-1
0,9.697457E-2
0,2.254392E-3
0,3.9156E-2
0,1.080577E-2
0,3.984533E-2
0,1.862369E-2
0,7.535894E-3
0,3.08682E-2
0,1.696734E-2
0,9.833523E-3
0,8.432042E-2
0,9.519672E-3
0,8.263309E-3
0,5.403953E-3
0,1.565155E-1
0,5.022572E-2
0,3.210949E-1
0,6.257763E-2
0,2.231722E-2
0,6.103053E-2
0,4.237055E-2
0,1.174125E-1
0,1.532812E-1
0,2.761223E-2
0,7.38886E-2
0,3.93112E-3
0,7.086034E-3
0,4.825768E-1
0,2.096556E-2
0,9.749329E-3
0,1.030607E-2
